"co_procedimento";"co_registro"
"0202030822";"02"
"0202030822";"05"
"0202030830";"01"
"0202030830";"02"
"0202030830";"05"
"0202030849";"01"
"0202030849";"02"
"0202030849";"05"
"0202030857";"01"
"0202030857";"02"
"0202030857";"05"
"0202030865";"01"
"0202030865";"02"
"0202030865";"05"
"0202030873";"01"
"0202030873";"02"
"0202030873";"05"
"0202030881";"01"
"0202030881";"02"
"0202030881";"05"
"0202030890";"01"
"0202030890";"02"
"0202030890";"05"
"0202030890";"07"
"0202030903";"01"
"0202030903";"02"
"0202030903";"05"
"0202030911";"01"
"0202030911";"02"
"0202030911";"05"
"0202030920";"01"
"0202030920";"02"
"0202030920";"05"
"0202030938";"01"
"0202030938";"02"
"0202030938";"05"
"0202030946";"01"
"0202030946";"02"
"0202030946";"05"
"0202030954";"01"
"0202030954";"02"
"0202030954";"05"
"0202030962";"01"
"0202030962";"02"
"0202030962";"05"
"0202030970";"01"
"0202030970";"02"
"0202030970";"05"
"0202030970";"07"
"0202030989";"01"
"0202030989";"02"
"0202030989";"05"
"0202030997";"01"
"0202030997";"02"
"0202030997";"05"
"0202031004";"01"
"0202031004";"02"
"0202031004";"05"
"0202031012";"01"
"0202031012";"02"
"0202031012";"05"
"0202031020";"01"
"0202031020";"02"
"0202031020";"05"
"0202031039";"01"
"0202031039";"02"
"0202031039";"05"
"0202031047";"01"
"0202031047";"02"
"0202031047";"05"
"0202031055";"01"
"0202031055";"02"
"0202031063";"01"
"0202031063";"02"
"0202031063";"05"
"0202031071";"02"
"0202031071";"05"
"0202031080";"02"
"0202031098";"02"
"0202031098";"04"
"0202031101";"01"
"0202031101";"02"
"0202031101";"05"
"0202031110";"01"
"0202031110";"02"
"0202031110";"05"
"0202031128";"01"
"0202031128";"02"
"0202031128";"05"
"0202031136";"01"
"0202031136";"02"
"0202031136";"05"
"0202031144";"01"
"0202031144";"02"
"0202031144";"05"
"0202031152";"01"
"0202031152";"02"
"0202031152";"05"
"0202031179";"01"
"0202031179";"02"
"0202031179";"05"
"0202031187";"01"
"0202031187";"02"
"0202031187";"05"
"0202031195";"01"
"0202031195";"02"
"0202031195";"05"
"0202031209";"02"
"0202031209";"04"
"0202031217";"01"
"0202031217";"02"
"0202031225";"02"
"0202031225";"05"
"0202031233";"02"
"0202031233";"05"
"0202031241";"02"
"0202031250";"02"
"0202031268";"02"
"0202040011";"01"
"0202040011";"02"
"0202040011";"05"
"0202040020";"01"
"0202040020";"02"
"0202040020";"05"
"0202040038";"01"
"0202040038";"02"
"0202040038";"05"
"0202040046";"01"
"0202040046";"02"
"0202040046";"05"
"0202040054";"01"
"0202040054";"02"
"0202040054";"05"
"0202040062";"01"
"0202040062";"02"
"0202040062";"05"
"0202040070";"01"
"0202040070";"02"
"0202040070";"05"
"0202040089";"01"
"0202040089";"02"
"0202040089";"05"
"0202040097";"01"
"0202040097";"02"
"0202040097";"05"
