"co_procedimento";"qt_maxima_execucao";"qt_dias_permanencia";"qt_pontos";"vl_idade_minima";"vl_idade_maxima";"vl_servico_hospitalar";"vl_servico_ambulatorial";"vl_servico_profissional";"qt_tempo_permanencia"
"0102010668";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102020019";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102020027";"9999";"9999";"0000";"0048";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0102020035";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0201010011";"0001";"9999";"0000";"0108";"0731";"0000000220";"0000000220";"0000000000";"9999"
"0201010020";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001410";"0000000000";"9999"
"0201010038";"0001";"0002";"0088";"0000";"1571";"0000012370";"0000000000";"0000007686";"9999"
"0201010046";"0001";"9999";"0000";"0000";"1571";"0000001846";"0000001846";"0000000000";"9999"
"0201010054";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0201010062";"0001";"9999";"0000";"0000";"1571";"0000004168";"0000004168";"0000000000";"9999"
"0201010070";"0001";"9999";"0000";"0000";"1571";"0000001833";"0000001833";"0000000000";"9999"
"0201010089";"0002";"9999";"0000";"0000";"1571";"0000000000";"0000001906";"0000000000";"9999"
"0201010097";"0002";"9999";"0000";"0000";"1571";"0000003110";"0000003110";"0000000000";"9999"
"0201010100";"9999";"9999";"0000";"0000";"1571";"0000004619";"0000004619";"0000000000";"9999"
"0201010119";"0002";"9999";"0000";"0000";"1571";"0000006862";"0000006862";"0000000000";"9999"
"0201010127";"0001";"0002";"0088";"0000";"1571";"0000058566";"0000000000";"0000022680";"9999"
"0201010135";"0001";"0002";"0088";"0000";"1571";"0000014901";"0000000000";"0000012960";"9999"
"0201010143";"0001";"0001";"0088";"0000";"1571";"0000057728";"0000000000";"0000013198";"9999"
"0201010151";"0001";"9999";"0000";"0108";"1571";"0000000000";"0000001833";"0000000000";"9999"
"0201010160";"0001";"0001";"0048";"0108";"1571";"0000006815";"0000008569";"0000001754";"9999"
"0201010178";"9999";"9999";"0000";"0120";"1571";"0000004619";"0000004619";"0000000000";"9999"
"0201010186";"0002";"9999";"0000";"0000";"1571";"0000004873";"0000006862";"0000001989";"9999"
"0201010194";"9999";"9999";"0000";"0000";"1571";"0000001906";"0000001906";"0000000000";"9999"
"0201010208";"0001";"0002";"0088";"0000";"1571";"0000011429";"0000000000";"0000008330";"9999"
"0201010216";"9999";"9999";"0000";"0000";"1571";"0000007115";"0000007115";"0000000000";"9999"
"0201010224";"9999";"9999";"0000";"0000";"1571";"0000004619";"0000004619";"0000000000";"9999"
"0201010232";"9999";"9999";"0000";"0000";"1571";"0000003127";"0000003127";"0000000000";"9999"
"0201010240";"0002";"0001";"0180";"0000";"1571";"0000011586";"0000019921";"0000008335";"9999"
"0201010259";"0001";"0002";"0088";"0216";"1571";"0000017246";"0000000000";"0000011502";"9999"
"0201010267";"0001";"0001";"0067";"0000";"1571";"0000006550";"0000011436";"0000004886";"9999"
"0201010275";"0001";"0001";"0040";"0000";"1571";"0000018772";"0000020000";"0000001228";"9999"
"0201010283";"9999";"9999";"0000";"0000";"1571";"0000001833";"0000001833";"0000000000";"9999"
"0201010291";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000003006";"0000000000";"9999"
"0201010305";"0002";"0002";"0088";"0000";"1571";"0000011960";"0000018275";"0000006315";"9999"
"0201010313";"0002";"0002";"0088";"0000";"1571";"0000011999";"0000018339";"0000006340";"9999"
"0201010321";"0002";"0001";"0088";"0000";"1571";"0000012200";"0000018878";"0000006678";"9999"
"0201010330";"0002";"0001";"0088";"0000";"1571";"0000012541";"0000018826";"0000006285";"9999"
"0201010348";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000002399";"0000000000";"9999"
"0201010356";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001833";"0000000000";"9999"
"0201010364";"0002";"9999";"0000";"0000";"1571";"0000000000";"0000001466";"0000000000";"9999"
"0201010372";"0001";"9999";"0000";"0000";"1571";"0000002583";"0000002583";"0000000000";"9999"
"0201010380";"9999";"9999";"0000";"0000";"1571";"0000001833";"0000001833";"0000000000";"9999"
"0201010399";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001833";"0000000000";"9999"
"0201010402";"0002";"0001";"0048";"0000";"1571";"0000009042";"0000011368";"0000002326";"9999"
"0201010410";"0001";"9999";"0000";"0120";"1571";"0000009238";"0000009238";"0000000000";"9999"
"0201010429";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0201010437";"9999";"9999";"0000";"0000";"1571";"0000004619";"0000004619";"0000000000";"9999"
"0201010445";"0001";"9999";"0000";"0000";"1571";"0000000000";"0000001833";"0000000000";"9999"
"0201010453";"0001";"9999";"0000";"0000";"1571";"0000000000";"0000003006";"0000000000";"9999"
"0201010461";"0002";"9999";"0000";"0120";"1571";"0000000000";"0000004619";"0000000000";"9999"
"0201010470";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000002373";"0000000000";"9999"
"0201010488";"0001";"9999";"0000";"0000";"1571";"0000004619";"0000004619";"0000000000";"9999"
"0201010496";"0001";"9999";"0000";"0000";"1571";"0000004619";"0000004619";"0000000000";"9999"
"0201010500";"9999";"9999";"0000";"0000";"1571";"0000001833";"0000001833";"0000000000";"9999"
"0201010518";"0001";"9999";"0000";"0000";"1571";"0000001833";"0000001833";"0000000000";"9999"
"0201010526";"9999";"9999";"0000";"0000";"1571";"0000002156";"0000002156";"0000000000";"9999"
"0201010534";"0001";"0002";"1484";"0156";"1571";"0000107421";"0000000000";"0000067032";"9999"
"0201010542";"9999";"9999";"0000";"0000";"1571";"0000009700";"0000009700";"0000000000";"9999"
"0201010550";"0001";"0002";"0088";"0000";"1571";"0000010156";"0000000000";"0000007667";"9999"
"0201010569";"9999";"9999";"0000";"0192";"1571";"0000007000";"0000007000";"0000000000";"9999"
"0201010585";"9999";"9999";"0000";"0192";"1571";"0000000000";"0000006648";"0000000000";"9999"
"0201010593";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000704";"0000000000";"9999"
"0201010607";"9999";"9999";"0000";"0192";"1571";"0000000000";"0000014000";"0000000000";"9999"
"0201010615";"9999";"9999";"0000";"0000";"1571";"0000001410";"0000001410";"0000000000";"9999"
"0201010623";"9999";"9999";"0000";"0000";"1571";"0000001410";"0000001410";"0000000000";"9999"
"0201010631";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000704";"0000000000";"9999"
"0201010640";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001325";"0000000000";"9999"
"0201010658";"0004";"9999";"0000";"0000";"0059";"0000000000";"0000000704";"0000000000";"9999"
"0201010666";"0001";"9999";"0000";"0144";"1571";"0000001833";"0000001833";"0000000000";"9999"
"0201020017";"0001";"9999";"0000";"0000";"1571";"0000000000";"0000000280";"0000000000";"9999"
"0201020025";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0201020033";"9999";"9999";"0000";"0120";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0201020041";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0201020050";"9999";"9999";"0000";"0000";"0011";"0000000000";"0000000000";"0000000000";"9999"
"0201020068";"0001";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0202010015";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010023";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010031";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001565";"0000000000";"9999"
"0202010040";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000363";"0000000000";"9999"
"0202010058";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000655";"0000000000";"9999"
"0202010066";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010074";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001000";"0000000000";"9999"
"0202010082";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010090";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010104";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010112";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010120";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010139";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000900";"0000000000";"9999"
"0202010147";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010155";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010163";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010171";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010180";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000225";"0000000000";"9999"
"0202010198";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010201";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010210";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010228";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010236";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010244";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0202010252";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010260";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010279";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010287";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010295";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010309";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010317";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010325";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010333";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000412";"0000000000";"9999"
"0202010341";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010350";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010368";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010376";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010384";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001559";"0000000000";"9999"
"0202010392";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010406";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000001565";"0000000000";"9999"
"0202010414";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010422";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010430";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010449";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010457";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010465";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010473";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
"0202010481";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010490";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010503";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000786";"0000000000";"9999"
"0202010511";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010520";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010538";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010546";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010554";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000225";"0000000000";"9999"
"0202010562";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010570";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000201";"0000000000";"9999"
"0202010589";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000368";"0000000000";"9999"
"0202010597";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000351";"0000000000";"9999"
"0202010600";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000185";"0000000000";"9999"
