"co_procedimento";"co_servico"
"0204010128";"121"
"0204010128";"121"
"0204010136";"121"
"0204010136";"121"
"0204010144";"121"
"0204010144";"121"
"0204010152";"121"
"0204010152";"121"
"0204010179";"121"
"0204010179";"121"
"0204010195";"121"
"0204010195";"121"
"0204010209";"121"
"0204010209";"121"
"0204020018";"121"
"0204020018";"121"
"0204020026";"121"
"0204020026";"121"
"0204020034";"121"
"0204020034";"121"
"0204020042";"121"
"0204020042";"121"
"0204020050";"121"
"0204020050";"121"
"0204020069";"121"
"0204020069";"121"
"0204020077";"121"
"0204020077";"121"
"0204020085";"121"
"0204020085";"121"
"0204020093";"121"
"0204020093";"121"
"0204020107";"121"
"0204020107";"121"
"0204020115";"121"
"0204020115";"121"
"0204020123";"121"
"0204020123";"121"
"0204020131";"121"
"0204020131";"121"
"0204030013";"121"
"0204030013";"121"
"0204030021";"121"
"0204030021";"121"
"0204030030";"121"
"0204030030";"121"
"0204030048";"121"
"0204030048";"121"
"0204030056";"121"
"0204030056";"121"
"0204030064";"121"
"0204030064";"121"
"0204030072";"121"
"0204030072";"121"
"0204030080";"121"
"0204030080";"121"
"0204030099";"121"
"0204030099";"121"
"0204030102";"121"
"0204030102";"121"
"0204030110";"121"
"0204030110";"121"
"0204030129";"121"
"0204030129";"121"
"0204030137";"121"
"0204030137";"121"
"0204030145";"121"
"0204030145";"121"
"0204030153";"121"
"0204030153";"121"
"0204030161";"121"
"0204030161";"121"
"0204030170";"121"
"0204030170";"121"
"0204030188";"121"
"0204030188";"121"
"0204040019";"121"
"0204040019";"121"
"0204040027";"121"
"0204040027";"121"
"0204040035";"121"
"0204040035";"121"
"0204040043";"121"
"0204040043";"121"
"0204040051";"121"
"0204040051";"121"
"0204040060";"121"
"0204040060";"121"
"0204040078";"121"
"0204040078";"121"
"0204040086";"121"
"0204040086";"121"
"0204040094";"121"
"0204040094";"121"
"0204040108";"121"
"0204040108";"121"
"0204040116";"121"
"0204040116";"121"
"0204040124";"121"
"0204040124";"121"
"0204050014";"121"
"0204050014";"121"
"0204050022";"121"
"0204050022";"121"
"0204050030";"121"
"0204050030";"121"
"0204050049";"121"
"0204050049";"121"
"0204050057";"121"
"0204050057";"121"
"0204050065";"121"
"0204050065";"121"
"0204050073";"121"
"0204050073";"121"
"0204050081";"121"
"0204050081";"121"
"0204050090";"121"
"0204050090";"121"
"0204050103";"121"
"0204050103";"121"
"0204050111";"121"
"0204050111";"121"
"0204050120";"121"
"0204050120";"121"
"0204050138";"121"
"0204050138";"121"
"0204050146";"121"
"0204050146";"121"
"0204050154";"121"
"0204050154";"121"
"0204050162";"121"
"0204050162";"121"
"0204050170";"121"
"0204050170";"121"
"0204050189";"121"
"0204050189";"121"
"0204060010";"121"
"0204060010";"121"
"0204060036";"121"
"0204060036";"121"
"0204060044";"121"
"0204060044";"121"
"0204060052";"121"
"0204060052";"121"
"0204060060";"121"
"0204060060";"121"
"0204060079";"121"
"0204060079";"121"
"0204060087";"121"
"0204060087";"121"
"0204060095";"121"
"0204060095";"121"
"0204060109";"121"
"0204060109";"121"
"0204060117";"121"
"0204060117";"121"
"0204060125";"121"
"0204060125";"121"
"0204060133";"121"
"0204060133";"121"
"0204060141";"121"
"0204060141";"121"
"0204060150";"121"
"0204060150";"121"
"0204060168";"121"
"0204060168";"121"
"0204060176";"121"
"0204060176";"121"
"0205010016";"122"
"0205010016";"122"
"0205010024";"122"
"0205010024";"122"
"0205010032";"121"
"0205010032";"121"
"0205010040";"121"
"0205010040";"121"
"0205010059";"121"
"0205010059";"121"
"0205020011";"121"
"0205020011";"121"
"0205020020";"131"
"0205020038";"121"
"0205020038";"121"
"0205020046";"121"
"0205020046";"121"
"0205020054";"121"
"0205020054";"121"
"0205020062";"121"
"0205020062";"121"
"0205020070";"121"
"0205020070";"121"
"0205020089";"121"
"0205020089";"121"
"0205020097";"121"
"0205020097";"121"
"0205020100";"121"
"0205020100";"121"
"0205020119";"121"
"0205020119";"121"
"0205020127";"121"
"0205020127";"121"
"0205020135";"121"
"0205020135";"121"
"0205020143";"121"
"0205020143";"121"
"0205020151";"121"
"0205020151";"121"
"0205020160";"121"
"0205020160";"121"
"0205020178";"121"
"0205020178";"121"
"0205020186";"121"
"0205020186";"121"
"0205020194";"121"
"0205020194";"121"
"0206010010";"121"
"0206010010";"121"
"0206010028";"121"
"0206010028";"121"
"0206010036";"121"
"0206010036";"121"
"0206010044";"121"
"0206010044";"121"
"0206010052";"121"
"0206010052";"121"
"0206010060";"121"
"0206010060";"121"
"0206010079";"121"
"0206010079";"121"
"0206010087";"121"
"0206010087";"121"
"0206010095";"121"
"0206010095";"121"
"0206010095";"151"
"0206020015";"121"
"0206020015";"121"
"0206020023";"121"
"0206020023";"121"
"0206020031";"121"
"0206020031";"121"
"0206020040";"121"
"0206020040";"121"
"0206030010";"121"
"0206030010";"121"
"0206030029";"121"
"0206030029";"121"
"0206030037";"121"
"0206030037";"121"
"0207010013";"121"
"0207010013";"121"
"0207010021";"121"
"0207010021";"121"
"0207010030";"121"
"0207010030";"121"
"0207010048";"121"
"0207010048";"121"
"0207010056";"121"
"0207010056";"121"
"0207010064";"121"
"0207010064";"121"
"0207010072";"121"
"0207010072";"121"
"0207020019";"121"
"0207020019";"121"
"0207020027";"121"
"0207020027";"121"
"0207020035";"121"
"0207020035";"121"
"0207030014";"121"
"0207030014";"121"
"0207030022";"121"
"0207030022";"121"
"0207030030";"121"
"0207030030";"121"
"0207030049";"121"
"0207030049";"121"
"0208010017";"151"
"0208010017";"151"
"0208010025";"151"
"0208010025";"151"
"0208010033";"151"
"0208010033";"151"
"0208010041";"151"
"0208010041";"151"
"0208010050";"151"
"0208010050";"151"
"0208010068";"151"
"0208010068";"151"
"0208010076";"151"
"0208010076";"151"
"0208010084";"151"
"0208010084";"151"
"0208010092";"151"
"0208010092";"151"
"0208020012";"151"
"0208020012";"151"
"0208020020";"151"
"0208020020";"151"
"0208020039";"151"
"0208020039";"151"
"0208020047";"151"
"0208020047";"151"
"0208020055";"151"
"0208020055";"151"
"0208020063";"151"
"0208020063";"151"
"0208020071";"151"
"0208020071";"151"
"0208020080";"151"
"0208020080";"151"
"0208020098";"151"
"0208020098";"151"
"0208020101";"151"
"0208020101";"151"
