"co_procedimento";"co_cid"
"0201010259";"M854"
"0201010259";"M855"
"0201010259";"M856"
"0201010259";"M860"
"0201010259";"M861"
"0201010259";"M862"
"0201010259";"M863"
"0201010259";"M864"
"0201010259";"M865"
"0201010259";"M866"
"0201010259";"M870"
"0201010259";"M872"
"0201010259";"M878"
"0201010259";"M891"
"0201010259";"M892"
"0201010259";"M893"
"0201010259";"M895"
"0201010259";"M960"
"0201010259";"M961"
"0201010259";"M962"
"0201010259";"M963"
"0201010259";"M964"
"0201010259";"M965"
"0201010259";"M966"
"0201010259";"M991"
"0201010259";"M992"
"0201010259";"M993"
"0201010259";"M994"
"0201010259";"M995"
"0201010259";"M996"
"0201010259";"M997"
"0201010259";"Q062"
"0201010259";"Q063"
"0201010259";"Q068"
"0201010259";"Q069"
"0201010259";"Q760"
"0201010259";"Q762"
"0201010259";"Q763"
"0201010259";"Q764"
"0201010259";"Q780"
"0201010259";"Q781"
"0201010259";"Q782"
"0201010259";"Q784"
"0201010259";"Q788"
"0201010259";"Q789"
"0201010259";"Q874"
"0201010259";"S122"
"0201010259";"S130"
"0201010259";"S131"
"0201010259";"S220"
"0201010259";"S221"
"0201010259";"S230"
"0201010259";"S231"
"0201010259";"S320"
"0201010259";"S321"
"0201010259";"S327"
"0201010259";"S328"
"0201010259";"S330"
"0201010259";"S331"
"0201010259";"T840"
"0201010259";"T842"
"0201010259";"T843"
"0201010259";"T844"
"0201010259";"T845"
"0201010259";"T846"
"0201010259";"T847"
"0201010259";"T848"
"0201010259";"T849"
"0201010259";"T911"
"0201010259";"T913"
"0201010259";"T918"
"0201010259";"T919"
"0201010267";"Z018"
"0201010275";"C795"
"0201010275";"C910"
"0201010275";"C911"
"0201010275";"C913"
"0201010275";"C914"
"0201010275";"C915"
"0201010275";"C917"
"0201010275";"C920"
"0201010275";"C921"
"0201010275";"C923"
"0201010275";"C924"
"0201010275";"C925"
"0201010275";"C927"
"0201010275";"C930"
"0201010275";"C931"
"0201010275";"C937"
"0201010275";"C940"
"0201010275";"C942"
"0201010275";"C943"
"0201010275";"C944"
"0201010275";"C945"
"0201010275";"C947"
"0201010275";"C950"
"0201010275";"C960"
"0201010275";"C961"
"0201010275";"C962"
"0201010275";"C967"
"0201010275";"D45 "
"0201010275";"D460"
"0201010275";"D461"
"0201010275";"D462"
"0201010275";"D463"
"0201010275";"D467"
"0201010275";"D473"
"0201010275";"D595"
"0201010275";"D600"
"0201010275";"D601"
"0201010275";"D608"
"0201010275";"D610"
"0201010275";"D611"
"0201010275";"D612"
"0201010275";"D613"
"0201010275";"D618"
"0201010275";"D731"
"0201010275";"D760"
"0201010275";"D761"
"0201010275";"D762"
"0201010275";"D763"
"0201010275";"E752"
"0201010275";"Q782"
"0201010275";"Q822"
"0201010283";"C491"
"0201010283";"C492"
"0201010283";"C499"
"0201010283";"D212"
"0201010283";"D369"
"0201010283";"G121"
"0201010283";"G128"
"0201010283";"G710"
"0201010283";"G711"
"0201010283";"G712"
"0201010283";"G713"
"0201010283";"G718"
"0201010283";"G719"
"0201010283";"M600"
"0201010283";"M601"
"0201010283";"M602"
"0201010283";"M608"
"0201010283";"M609"
"0201010283";"M629"
"0201010283";"M630"
"0201010283";"M631"
"0201010283";"M632"
"0201010283";"M633"
"0201010283";"M638"
"0201010305";"C400"
"0201010305";"C408"
"0201010305";"C409"
"0201010305";"C413"
"0201010305";"D160"
"0201010305";"D167"
"0201010305";"D169"
"0201010305";"M000"
"0201010305";"M001"
"0201010305";"M002"
"0201010305";"M008"
"0201010305";"M009"
"0201010305";"M011"
"0201010305";"M013"
"0201010305";"M016"
"0201010305";"M018"
"0201010305";"M031"
"0201010305";"M053"
"0201010305";"M058"
"0201010305";"M059"
"0201010305";"M060"
"0201010305";"M061"
"0201010305";"M062"
"0201010305";"M064"
"0201010305";"M068"
"0201010305";"M069"
"0201010305";"M070"
"0201010305";"M071"
"0201010305";"M072"
"0201010305";"M073"
"0201010305";"M074"
"0201010305";"M075"
"0201010305";"M076"
"0201010305";"M080"
"0201010305";"M081"
"0201010305";"M082"
"0201010305";"M083"
"0201010305";"M084"
"0201010305";"M088"
"0201010305";"M089"
"0201010305";"M090"
"0201010305";"M091"
"0201010305";"M092"
"0201010305";"M098"
"0201010305";"M100"
"0201010305";"M101"
"0201010305";"M102"
"0201010305";"M103"
"0201010305";"M104"
"0201010305";"M109"
"0201010305";"M110"
"0201010305";"M111"
"0201010305";"M112"
"0201010305";"M118"
"0201010305";"M119"
"0201010305";"M120"
"0201010305";"M121"
"0201010305";"M122"
"0201010305";"M123"
"0201010305";"M124"
"0201010305";"M125"
"0201010305";"M128"
"0201010305";"M130"
"0201010305";"M131"
"0201010305";"M138"
"0201010305";"M139"
"0201010305";"M140"
"0201010305";"M141"
"0201010305";"M142"
"0201010305";"M143"
"0201010305";"M144"
"0201010305";"M145"
"0201010305";"M146"
"0201010305";"M148"
"0201010305";"M400"
"0201010305";"M841"
"0201010305";"M850"
"0201010305";"M862"
"0201010305";"M863"
"0201010305";"M864"
"0201010305";"M865"
"0201010305";"M866"
"0201010305";"M868"
"0201010305";"M869"
"0201010305";"M925"
"0201010305";"M926"
"0201010305";"P369"
"0201010313";"C401"
"0201010313";"C402"
"0201010313";"C408"
"0201010313";"C409"
"0201010313";"C414"
"0201010313";"C419"
"0201010313";"C767"
"0201010313";"C80 "
"0201010313";"C900"
"0201010313";"D162"
"0201010313";"D168"
"0201010313";"D169"
"0201010313";"D480"
"0201010313";"D489"
"0201010313";"M000"
"0201010313";"M001"
"0201010313";"M002"
"0201010313";"M008"
"0201010313";"M009"
"0201010313";"M058"
"0201010313";"M059"
"0201010313";"M060"
"0201010313";"M068"
"0201010313";"M069"
"0201010313";"M080"
"0201010313";"M081"
"0201010313";"M082"
"0201010313";"M083"
"0201010313";"M084"
"0201010313";"M088"
"0201010313";"M089"
"0201010313";"M109"
"0201010313";"M122"
"0201010313";"M130"
"0201010313";"M131"
"0201010313";"M45 "
"0201010313";"M860"
"0201010313";"M861"
"0201010313";"M862"
"0201010313";"M863"
"0201010313";"M864"
"0201010313";"M865"
"0201010313";"M866"
"0201010313";"M868"
"0201010313";"M869"
"0201010321";"C401"
"0201010321";"C402"
"0201010321";"C403"
"0201010321";"C408"
"0201010321";"C409"
"0201010321";"C418"
"0201010321";"C795"
"0201010321";"C80 "
"0201010321";"D162"
"0201010321";"D163"
"0201010321";"D480"
"0201010321";"D489"
"0201010321";"M000"
"0201010321";"M001"
"0201010321";"M002"
"0201010321";"M008"
"0201010321";"M009"
"0201010321";"M010"
"0201010321";"M011"
"0201010321";"M012"
"0201010321";"M013"
"0201010321";"M014"
"0201010321";"M015"
"0201010321";"M016"
"0201010321";"M018"
"0201010321";"M020"
"0201010321";"M021"
"0201010321";"M022"
"0201010321";"M023"
"0201010321";"M028"
"0201010321";"M029"
"0201010321";"M030"
"0201010321";"M031"
"0201010321";"M032"
"0201010321";"M036"
"0201010321";"M050"
"0201010321";"M051"
"0201010321";"M052"
"0201010321";"M053"
"0201010321";"M058"
"0201010321";"M059"
"0201010321";"M060"
"0201010321";"M061"
"0201010321";"M062"
"0201010321";"M063"
"0201010321";"M064"
"0201010321";"M068"
"0201010321";"M069"
"0201010321";"M070"
"0201010321";"M071"
"0201010321";"M072"
"0201010321";"M073"
"0201010321";"M074"
"0201010321";"M075"
"0201010321";"M076"
"0201010321";"M080"
"0201010321";"M083"
"0201010321";"M088"
"0201010321";"M089"
"0201010321";"M100"
"0201010321";"M101"
"0201010321";"M102"
"0201010321";"M103"
"0201010321";"M104"
"0201010321";"M109"
"0201010321";"M110"
"0201010321";"M111"
"0201010321";"M112"
"0201010321";"M118"
"0201010321";"M119"
"0201010321";"M120"
"0201010321";"M121"
"0201010321";"M122"
"0201010321";"M123"
"0201010321";"M124"
"0201010321";"M128"
"0201010321";"M130"
"0201010321";"M131"
"0201010321";"M138"
"0201010321";"M139"
"0201010321";"M140"
"0201010321";"M141"
"0201010321";"M142"
"0201010321";"M144"
"0201010321";"M145"
"0201010321";"M146"
"0201010321";"M148"
"0201010321";"M159"
"0201010321";"M170"
"0201010321";"M171"
"0201010321";"M172"
"0201010321";"M173"
"0201010321";"M174"
"0201010321";"M175"
"0201010321";"M179"
"0201010321";"M220"
"0201010321";"M221"
"0201010321";"M222"
"0201010321";"M223"
"0201010321";"M224"
"0201010321";"M228"
"0201010321";"M229"
"0201010321";"M230"
"0201010321";"M231"
"0201010321";"M232"
"0201010321";"M233"
"0201010321";"M234"
"0201010321";"M235"
"0201010321";"M236"
"0201010321";"M238"
"0201010321";"M239"
"0201010321";"M250"
"0201010321";"M253"
"0201010321";"M254"
"0201010321";"M258"
"0201010321";"M259"
"0201010321";"M362"
"0201010321";"M363"
"0201010321";"M658"
"0201010321";"M659"
"0201010321";"M672"
"0201010321";"M678"
"0201010321";"M679"
"0201010321";"M862"
"0201010321";"M863"
"0201010321";"M864"
"0201010321";"M865"
"0201010321";"M866"
"0201010321";"M893"
"0201010321";"M898"
"0201010321";"M932"
"0201010321";"M938"
"0201010321";"M939"
"0201010321";"M948"
"0201010321";"M949"
"0201010321";"R224"
"0201010321";"S724"
"0201010321";"S781"
"0201010321";"S789"
"0201010321";"S820"
"0201010321";"S821"
"0201010321";"S832"
"0201010321";"S833"
"0201010321";"S834"
"0201010321";"S835"
"0201010321";"S836"
"0201010321";"S837"
"0201010321";"T844"
"0201010321";"T845"
"0201010321";"T846"
"0201010321";"T847"
"0201010321";"T848"
"0201010321";"T849"
"0201010330";"C400"
"0201010330";"C401"
"0201010330";"C408"
"0201010330";"C409"
"0201010330";"C764"
"0201010330";"D160"
"0201010330";"D161"
"0201010330";"D162"
"0201010330";"D163"
"0201010330";"D169"
"0201010330";"M400"
"0201010330";"M701"
"0201010330";"M841"
"0201010330";"M860"
"0201010330";"M861"
"0201010330";"M862"
"0201010330";"M863"
"0201010330";"M864"
"0201010330";"M865"
"0201010330";"M866"
